id	cat_url	cod	cod_n	stat	stat_n
c1459	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362703	^^^	^^^	^^^	^^^
c1460	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362704	^^^	^^^	^^^	^^^
c1461	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362705	^^^	^^^	^^^	^^^
c1462	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362706	^^^	^^^	^^^	^^^
c1463	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362707	^^^	^^^	^^^	^^^
c1464	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362708	^^^	^^^	^^^	^^^
c1465	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362674	^^^	^^^	^^^	^^^
c1466	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362711	^^^	^^^	^^^	^^^
c1467	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362712	^^^	^^^	^^^	^^^
c1468	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362713	^^^	^^^	^^^	^^^
c1469	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362675	^^^	^^^	^^^	^^^
c1470	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362676	^^^	^^^	^^^	^^^
c1471	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362677	^^^	^^^	^^^	^^^
c1472	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362678	^^^	^^^	^^^	^^^
c1473	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362679	^^^	^^^	^^^	^^^
c1474	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362714	^^^	^^^	^^^	^^^
c1475	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362715	^^^	^^^	^^^	^^^
c1476	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362716	^^^	^^^	^^^	^^^
c1477	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362717	^^^	^^^	^^^	^^^
c1478	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362718	^^^	^^^	^^^	^^^
c1479	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362719	^^^	^^^	^^^	^^^
c1480	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362720	^^^	^^^	^^^	^^^
c1481	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362721	^^^	^^^	^^^	^^^
c1482	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362722	^^^	^^^	^^^	^^^
c1483	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362723	^^^	^^^	^^^	^^^
c1484	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362724	^^^	^^^	^^^	^^^
c1485	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362725	^^^	^^^	^^^	^^^
c1486	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362726	^^^	^^^	^^^	^^^
c1487	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362727	^^^	^^^	^^^	^^^
c1488	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362728	^^^	^^^	^^^	^^^
c1489	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362729	^^^	^^^	^^^	^^^
c1490	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362730	^^^	^^^	^^^	^^^
c1491	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362731	^^^	^^^	^^^	^^^
c1492	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362732	^^^	^^^	^^^	^^^
c1493	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362733	^^^	^^^	^^^	^^^
c1494	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362734	^^^	^^^	^^^	^^^
c1495	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362735	^^^	^^^	^^^	^^^
c1496	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362736	^^^	^^^	^^^	^^^
c1497	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362737	^^^	^^^	^^^	^^^
c1498	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362738	^^^	^^^	^^^	^^^
c1499	http://pares.mcu.es/ParesBusquedas20/catalogo/description/362739	^^^	^^^	^^^	^^^
